match_id,role,raw_name,mapped_name,canonical_athlete_id,sex,weight_class,year
21900,winner,Marcus Almeida,Marcus Almeida,athlete_marcus-almeida-m,M,ABS,2019
21900,loser,Keith Krikorian,Keith Krikorian,athlete_keith-krikorian-m,M,ABS,2019
21912,winner,Marcus Almeida,Marcus Almeida,athlete_marcus-almeida-m,M,ABS,2019
21912,loser,Mahamed Aly,Mahamed Aly,athlete_mahamed-aly-m,M,ABS,2019
2240,winner,Rafael Mendes,Rafael Mendes,athlete_rafael-mendes-m,M,66KG,2009
2240,loser,Leonardo Vieira,Leonardo Vieira,athlete_leonardo-vieira-m,M,66KG,2009
2242,winner,Rafael Mendes,Rafael Mendes,athlete_rafael-mendes-m,M,66KG,2009
2242,loser,Rubens Charles,Rubens Charles,athlete_rubens-charles-m,M,66KG,2009
3281,winner,Rafael Mendes,Rafael Mendes,athlete_rafael-mendes-m,M,66KG,2011
3281,loser,Robson Moura,Robson Moura,athlete_robson-moura-m,M,66KG,2011
4987,winner,Rafael Mendes,Rafael Mendes,athlete_rafael-mendes-m,M,66KG,2013
4987,loser,Joao Miyao,Joao Miyao,athlete_joao-miyao-m,M,66KG,2013
21852,winner,Renato Forasieppi Canuto,Renato Forasieppi Canuto,athlete_renato-forasieppi-canuto-m,M,77KG,2019
21852,loser,Oliver Taza,Oliver Taza,athlete_oliver-taza-m,M,77KG,2019
2243,winner,Ryan Hall,Ryan Hall,athlete_ryan-hall-m,M,66KG,2009
2243,loser,Jeff Glover,Jeff Glover,athlete_jeff-glover-m,M,66KG,2009
21869,winner,Tye Ruotolo,Tye Ruotolo,athlete_tye-ruotolo-m,M,66KG,2019
21869,loser,Pablo Mantovani,Pablo Mantovani,athlete_pablo-mantovani-m,M,66KG,2019
35097,winner,Tye Ruotolo,Tye Ruotolo,athlete_tye-ruotolo-m,M,ABS,2022
35097,loser,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,ABS,2022
21904,winner,Tim Spriggs,Tim Spriggs,athlete_tim-spriggs-m,M,ABS,2019
21904,loser,Jared Dopp,Jared Dopp,athlete_jared-dopp-m,M,ABS,2019
21907,winner,Patrick Gaudio,Patrick Gaudio,athlete_patrick-gaudio-m,M,ABS,2019
21907,loser,Michael Perez,Michael Perez,athlete_michael-perez-m,M,ABS,2019
7936,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,88KG,2015
7936,loser,Romulo Barral,Romulo Barral,athlete_romulo-barral-m,M,88KG,2015
7939,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,88KG,2015
7939,loser,Keenan Cornelius,Keenan Cornelius,athlete_keenan-cornelius-m,M,88KG,2015
7993,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,ABS,2015
7993,loser,Dean Lister,Dean Lister,athlete_dean-lister-m,M,ABS,2015
13873,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,99KG,2017
13873,loser,Jackson Sousa,Jackson Sousa,athlete_jackson-sousa-m,M,99KG,2017
13875,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,99KG,2017
13875,loser,Felipe Pena,Felipe Pena,athlete_felipe-pena-m,M,99KG,2017
35089,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,ABS,2022
35089,loser,Lachlan Giles,Lachlan Giles,athlete_lachlan-giles-m,M,ABS,2022
35099,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,ABS,2022
35099,loser,Nick Rodriguez,Nick Rodriguez,athlete_nick-rodriguez-m,M,ABS,2022
35101,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,ABS,2022
35101,loser,Roberto Abreu,Roberto Abreu,athlete_roberto-abreu-m,M,ABS,2022
35102,winner,Yuri Simoes,Yuri Simoes,athlete_yuri-simoes-m,M,ABS,2022
35102,loser,Nicholas Meregali,Nicholas Meregali,athlete_nicholas-meregali-m,M,ABS,2022
7963,winner,Geovanny Martinez,Geovanny Martinez,athlete_geovanny-martinez-m,M,66KG,2015
7963,loser,Alexandre Vieira,Alexandre Vieira,athlete_alexandre-vieira-m,M,66KG,2015
5045,winner,Jared Dopp,Jared Dopp,athlete_jared-dopp-m,M,+99KG,2013
5045,loser,Vinicius Magalhaes,Vinicius Magalhaes,athlete_vinicius-magalhaes-m,M,+99KG,2013
5056,winner,Jared Dopp,Jared Dopp,athlete_jared-dopp-m,M,ABS,2013
5056,loser,Leonardo Nogueira,Leonardo Nogueira,athlete_leonardo-nogueira-m,M,ABS,2013
7897,winner,Jared Dopp,Jared Dopp,athlete_jared-dopp-m,M,+99KG,2015
7897,loser,Gabriel Lucas,Gabriel Lucas,athlete_gabriel-lucas-m,M,+99KG,2015
7904,winner,Jared Dopp,Jared Dopp,athlete_jared-dopp-m,M,+99KG,2015
