match_id,role,raw_name,canonical_athlete_id
13897,loser,Enrico Cocco,athlete_enrico-cocco-m
21856,winner,Celso Vinicius,athlete_celso-vinicius-m
21856,loser,Edwin Najmi,athlete_edwin-najmi-m
3266,winner,Claudio Calasans,athlete_claudio-calasans-m
3266,loser,Augusto Mendes,athlete_augusto-mendes-m
7987,winner,Claudio Calasans,athlete_claudio-calasans-m
7987,loser,Gabriel Lucas,athlete_gabriel-lucas-m
7994,winner,Claudio Calasans,athlete_claudio-calasans-m
7994,loser,Vinicius Magalhaes,athlete_vinicius-magalhaes-m
7998,winner,Claudio Calasans,athlete_claudio-calasans-m
7998,loser,Yuri Simoes,athlete_yuri-simoes-m
7968,winner,Bruno Frazatto,athlete_bruno-frazatto-m
7968,loser,Geovanny Martinez,athlete_geovanny-martinez-m
13885,winner,Craig Jones,athlete_craig-jones-m
13885,loser,Murilo Santana,athlete_murilo-santana-m
21845,winner,Craig Jones,athlete_craig-jones-m
21845,loser,Mason Fowler,athlete_mason-fowler-m
21888,winner,Craig Jones,athlete_craig-jones-m
21888,loser,Jon Blank,athlete_jon-blank-m
35052,winner,Craig Jones,athlete_craig-jones-m
35052,loser,Kyle Boehm,athlete_kyle-boehm-m
35055,winner,Craig Jones,athlete_craig-jones-m
35055,loser,Nicholas Meregali,athlete_nicholas-meregali-m
35078,winner,Brianna Ste-Marie,athlete_brianna-stemarie-f
35078,loser,Bianca Basilio,athlete_bianca-basilio-f
21853,winner,Dante Leon,athlete_dante-leon-m
21853,loser,Jonathan Satava,athlete_jonathan-satava-m
21859,winner,Dante Leon,athlete_dante-leon-m
21859,loser,Lucas Lepri,athlete_lucas-lepri-m
35025,winner,Dante Leon,athlete_dante-leon-m
35025,loser,Paul Schreiner,athlete_paul-schreiner-m
7953,winner,Davi Ramos,athlete_davi-ramos-m
7953,loser,Gilbert Burns,athlete_gilbert-burns-m
7955,winner,Davi Ramos,athlete_davi-ramos-m
7955,loser,Lucas Lepri,athlete_lucas-lepri-m
798,winner,David Terrell,athlete_david-terrell-m
798,loser,Ricardo Almeida,athlete_ricardo-almeida-m
1701,winner,Demian Maia,athlete_demian-maia-m
1701,loser,Rafael Lovato Jr,athlete_rafael-lovato-jr-m
1703,winner,Demian Maia,athlete_demian-maia-m
1703,loser,Tarsis Humpreys,athlete_tarsis-humpreys-m
34999,winner,Diego Oliveira,athlete_diego-oliveira-m
34999,loser,Keith Krikorian,athlete_keith-krikorian-m
35009,winner,Diego Oliveira,athlete_diego-oliveira-m
35009,loser,Joshua Cisneros,athlete_joshua-cisneros-m
35002,winner,Diogo Reis,athlete_diogo-reis-m
35002,loser,Fabricio Andrey,athlete_fabricio-andrey-m
35007,winner,Diogo Reis,athlete_diogo-reis-m
35007,loser,Joshua Cisneros,athlete_joshua-cisneros-m
35008,winner,Diogo Reis,athlete_diogo-reis-m
35008,loser,Gabriel Sousa,athlete_gabriel-sousa-m
767,winner,Eddie Bravo,athlete_eddie-bravo-m
767,loser,Royler Gracie,athlete_royler-gracie-m
826,winner,Dean Lister,athlete_dean-lister-m
826,loser,Marcio Cruz,athlete_marcio-cruz-m
3298,winner,Dean Lister,athlete_dean-lister-m
3298,loser,Joao Assis,athlete_joao-assis-m
5060,winner,Dean Lister,athlete_dean-lister-m
5060,loser,Joao Gabriel Rocha,athlete_joao-gabriel-rocha-m
13894,winner,DeAlonzio Jackson,athlete_dealonzio-jackson-m
13894,loser,Leonardo Saggioro,athlete_leonardo-saggioro-m
21849,winner,DeAlonzio Jackson,athlete_dealonzio-jackson-m
21849,loser,John Combs,athlete_john-combs-m
21843,winner,Gabriel Arges,athlete_gabriel-arges-m
21843,loser,Alec Baulding,athlete_alec-baulding-m
34996,winner,Gabriel Sousa,athlete_gabriel-sousa-m
34996,loser,Ruan Alvarenga,athlete_ruan-alvarenga-m
35005,winner,Gabriel Sousa,athlete_gabriel-sousa-m
35005,loser,Jeremy Skinner,athlete_jeremy-skinner-m
7943,winner,Gary Tonon,athlete_gary-tonon-m
7943,loser,Dillon Danis,athlete_dillon-danis-m
13903,winner,Gary Tonon,athlete_gary-tonon-m
13903,loser,Marcelo Mafra,athlete_marcelo-mafra-m
21858,winner,Gary Tonon,athlete_gary-tonon-m
21858,loser,Renato Forasieppi Canuto,athlete_renato-forasieppi-canuto-m
21894,winner,Gary Tonon,athlete_gary-tonon-m
21894,loser,Dante Leon,athlete_dante-leon-m
21906,winner,Gary Tonon,athlete_gary-tonon-m
21906,loser,Edwin Najmi,athlete_edwin-najmi-m
35028,winner,Giancarlo Bodoni,athlete_giancarlo-bodoni-m
35028,loser,Isaque Bahiense,athlete_isaque-bahiense-m
35040,winner,Giancarlo Bodoni,athlete_giancarlo-bodoni-m
35040,loser,Lucas Daniel Barbosa,athlete_lucas-daniel-barbosa-m
35094,winner,Giancarlo Bodoni,athlete_giancarlo-bodoni-m
35094,loser,Rida Haisam,athlete_rida-haisam-m
7959,winner,Gianni Grippo,athlete_gianni-grippo-m
7959,loser,Gabriel Marangoni,athlete_gabriel-marangoni-m
7946,winner,Gilbert Burns,athlete_gilbert-burns-m
7946,loser,Lachlan Giles,athlete_lachlan-giles-m
13883,winner,Gordon Ryan,athlete_gordon-ryan-m
13883,loser,Dillon Danis,athlete_dillon-danis-m
13887,winner,Gordon Ryan,athlete_gordon-ryan-m
13887,loser,Romulo Barral,athlete_romulo-barral-m
13891,winner,Gordon Ryan,athlete_gordon-ryan-m
13891,loser,Keenan Cornelius,athlete_keenan-cornelius-m
13931,winner,Gordon Ryan,athlete_gordon-ryan-m
13931,loser,Roberto Abreu,athlete_roberto-abreu-m
13935,winner,Gordon Ryan,athlete_gordon-ryan-m
13935,loser,Craig Jones,athlete_craig-jones-m
13936,winner,Gordon Ryan,athlete_gordon-ryan-m
13936,loser,Mahamed Aly,athlete_mahamed-aly-m
21833,winner,Gordon Ryan,athlete_gordon-ryan-m
21833,loser,Tim Spriggs,athlete_tim-spriggs-m
21885,winner,Gordon Ryan,athlete_gordon-ryan-m
21885,loser,Lucas Daniel Barbosa,athlete_lucas-daniel-barbosa-m
21903,winner,Gordon Ryan,athlete_gordon-ryan-m
21903,loser,Pedro Marinho,athlete_pedro-marinho-m
